id ame calories sodium alcohol_min alcohol_max cost
1 Budweiser 144 15 4.7 5 0.43
2 Schlitz 151 19 4.9 5.5 0.43
3 Lowenbrau 157 15 0.9 2 0.48
4 Kronenbourg 170 7 5.2 6 0.73
5 Heineken 152 11 5.0 6 0.77
6 Old_Milwaukee 145 23 4.6 5.5 0.28
7 Augsberger 175 24 5.5 6 0.40
7 Srohs_Bohemian_Style 149 27 4.7 5.2 0.42
8 Miller_Lite 99 10 4.3 5 0.43
9 Budweiser_Light 113 8 3.7 5 0.40
10 Coors 140 18 4.6 4.9 0.44
11 Coors_Light 102 15 4.1 5 0.46
12 Michelob_Light 135 11 4.2 5 0.50
15 Becks 150 19 4.7 5 0.76
15 Kirin 149 6 5.0 6 0.79
16 Pabst_Extra_Light 68 15 2.3 3 0.38
17 Hamms 139 19 4.4 5 0.43
18 Heilemans_Old_Style 144 24 4.9 5.3 0.43
19 Olympia_Goled_Light 72 6 2.9 4 0.46
20 Schlitz_Light 97 7 4.2 5 0.47
